Week,Team,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef
09/09/2000,Utah,21,38,139,31,16,158,1,3,California,24,45,120,28,18,209,1,2
09/09/2000,Texas-El Paso,37,47,204,19,13,206,0,0,Southern Methodist,20,24,75,46,22,420,2,0
09/09/2000,Utah State,30,26,29,28,15,225,0,1,Southern Utah,14,56,297,24,5,71,3,1
09/09/2000,Vanderbilt,10,31,85,26,12,172,0,0,Alabama,28,42,292,15,6,57,0,0
09/09/2000,Virginia,34,32,107,28,19,299,0,0,Richmond,6,53,228,9,2,13,0,1
09/09/2000,Virginia Tech,45,36,205,16,9,106,0,1,East Carolina,28,39,87,47,23,331,3,0
09/09/2000,Washington,34,46,128,31,18,223,2,1,"Miami, Florida",29,33,158,34,15,215,0,3
09/09/2000,Wake Forest,14,40,-2,34,14,164,0,1,North Carolina,35,49,129,13,7,194,0,1
09/09/2000,Wisconsin,27,43,302,13,5,65,1,0,Oregon,23,25,92,49,22,362,3,0
09/09/2000,Western Michigan,27,36,59,31,21,294,1,1,Iowa,21,31,49,34,23,314,0,2
09/09/2000,Wyoming,3,42,83,32,17,130,1,2,Texas A & M,51,37,191,25,16,299,0,2
09/16/2000,Akron,35,50,279,25,15,228,1,1,Central Florida,24,32,126,43,25,306,4,0
09/16/2000,Arkansas State,17,28,102,30,17,222,1,0,Memphis,19,44,147,23,14,122,0,0
09/16/2000,Alabama,0,33,95,35,19,122,2,2,Southern Miss,21,37,51,23,14,159,1,0
09/16/2000,Arizona,17,36,185,31,19,200,1,3,San Diego State,3,37,72,29,15,124,1,0
09/16/2000,Arkansas,38,46,217,28,12,249,1,1,Boise State,31,26,74,48,23,304,2,0
09/16/2000,Army,30,26,52,41,21,305,0,0,Houston,31,46,188,46,29,336,2,2
09/16/2000,Auburn,34,48,196,30,21,225,0,1,Louisiana State,17,26,83,30,13,214,1,0
09/16/2000,Arizona State,13,48,184,24,11,77,0,0,Colorado State,10,34,64,31,14,225,1,1
09/16/2000,Ball State,0,45,46,8,1,5,2,1,Kansas State,76,57,322,12,8,192,0,0
09/16/2000,Baylor,9,26,56,40,15,123,1,1,Minnesota,34,58,300,23,15,187,1,1
09/16/2000,Boise State,31,26,74,48,23,304,2,0,Arkansas,38,46,217,28,12,249,1,1
09/16/2000,Bowling Green,14,29,26,28,14,164,0,0,Temple,31,38,127,34,24,272,2,0
09/16/2000,Buffalo,21,36,101,40,26,259,1,1,Connecticut,24,38,139,37,20,199,0,1
09/16/2000,Brigham Young,28,32,65,50,27,268,2,2,Mississippi State,44,33,208,20,13,167,0,2
09/16/2000,California,15,33,114,32,15,162,0,1,Illinois,17,57,222,24,7,112,0,1
09/16/2000,Central Florida,24,32,126,43,25,306,4,0,Akron,35,50,279,25,15,228,1,1
09/16/2000,Cincinnati,25,37,113,37,19,238,1,0,Wisconsin,28,47,198,21,11,107,0,0
09/16/2000,Clemson,55,66,436,21,10,187,0,0,Wake Forest,7,35,102,17,7,57,0,2
09/16/2000,Central Michigan,10,31,43,36,18,240,0,2,Wyoming,31,55,321,17,5,47,1,0
09/16/2000,Colorado,14,35,70,27,15,173,0,2,Washington,17,49,205,29,15,200,2,2
09/16/2000,Colorado State,10,34,64,31,14,225,1,1,Arizona State,13,48,185,24,11,76,0,0
09/16/2000,Duke,10,34,133,36,18,198,1,0,Virginia,26,45,119,30,20,333,0,0
09/16/2000,East Carolina,37,44,247,33,13,258,0,0,Tulane,17,53,188,35,20,299,0,2
09/16/2000,Eastern Michigan,6,27,43,33,20,149,0,1,South Carolina,41,44,336,33,19,240,0,2
09/16/2000,Florida,27,21,39,43,20,290,1,0,Tennessee,23,49,203,29,17,140,1,1
09/16/2000,Florida State,63,41,194,27,15,346,0,0,North Carolina,14,44,79,33,16,244,1,3
09/16/2000,Georgia Tech,40,40,139,19,10,166,0,1,Navy,13,52,165,40,24,199,0,4
,Hawaii,,20,53,57,28,367,2,1,,,50,196,24,12,235,0,1
09/16/2000,Houston,31,46,188,46,29,336,2,2,Army,30,26,52,40,20,303,0,0
09/16/2000,Iowa State,24,46,246,27,18,239,1,0,Iowa,14,28,93,41,22,235,1,0
09/16/2000,Idaho,13,25,119,35,15,186,0,2,Oregon,42,46,217,30,18,233,0,0
09/16/2000,Illinois,17,57,222,24,7,112,0,1,California,15,33,114,32,15,162,0,1
09/16/2000,Indiana,34,43,232,26,11,143,0,2,Kentucky,41,26,79,48,33,339,0,0
09/16/2000,Iowa,14,28,93,41,22,235,1,0,Iowa State,24,46,246,27,18,239,1,0
09/16/2000,Kansas,23,44,209,23,10,152,2,2,Alabama-Birmingham,20,51,193,24,10,45,1,0
09/16/2000,Kent State,20,36,97,34,20,178,1,0,Youngstown State,26,50,81,15,10,127,0,1
09/16/2000,Kansas State,76,57,322,12,8,192,0,0,Ball State,0,45,46,8,1,5,2,1
09/16/2000,Kentucky,41,26,79,48,33,339,0,0,Indiana,34,43,232,26,11,143,0,2
09/16/2000,Louisiana State,17,26,83,29,12,212,1,0,Auburn,34,48,196,30,21,225,0,1
09/16/2000,Louisiana Tech,31,38,187,38,26,282,1,1,Stephen F Austin,34,47,221,25,14,169,1,0
09/16/2000,Michigan State,13,46,140,24,10,157,1,1,Missouri,10,36,114,31,16,242,0,1
09/16/2000,Maryland,17,30,71,30,19,215,1,0,West Virginia,30,45,276,22,14,165,0,3
09/16/2000,Memphis,19,44,147,23,14,122,0,0,Arkansas State,17,28,102,30,17,222,1,0
09/16/2000,"Miami, Ohio",16,22,132,48,21,236,3,0,Ohio State,27,56,273,30,13,194,0,0
09/16/2000,Michigan,20,46,263,28,8,111,1,1,U.C.L.A.,23,39,126,41,22,268,0,3
09/16/2000,Minnesota,34,55,289,20,14,172,1,1,Baylor,9,26,56,40,15,123,1,1
09/16/2000,Mississippi,12,37,201,23,14,133,1,0,Vanderbilt,7,32,90,45,20,278,2,2
09/16/2000,Missouri,10,36,114,31,16,242,0,1,Michigan State,13,46,140,24,10,157,1,1
09/16/2000,Mississippi State,44,33,208,20,13,167,0,2,Brigham Young,28,32,65,50,27,268,2,2
09/16/2000,Mid Tennessee St,44,51,273,35,22,260,1,1,Murray State,28,27,62,36,20,225,0,0
09/16/2000,Navy,13,52,165,40,24,199,0,4,Georgia Tech,40,40,139,19,10,166,0,1
09/16/2000,North Carolina,14,44,79,33,16,244,1,3,Florida State,63,41,194,27,15,346,0,0
09/16/2000,No Carolina State,41,25,99,29,18,331,2,1,Southern Methodist,0,51,101,31,15,75,4,1
